,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,converteu
75,- BANCÁRIO,107,120,486537,866578,0.8916666666666667,0.5614462864277653,0.33022038023890143,0.33022038023890143,0.0
1327,- MALE b 25-34 anos SP SUDESTE Casado,176,208,486537,866578,0.8461538461538461,0.5614462864277653,0.28470755972608086,0.28470755972608086,0.0
432,- ROUPAS MASCULINAS E FEMININAS,73,87,486537,866578,0.8390804597701149,0.5614462864277653,0.27763417334234963,0.27763417334234963,0.0
1163,- MALE b 25-34 anos AL NORDESTE Casado,52,62,486537,866578,0.8387096774193549,0.5614462864277653,0.2772633909915896,0.2772633909915896,0.0
1506,- MALE c 35-44 anos SP SUDESTE Casado,212,259,486537,866578,0.8185328185328186,0.5614462864277653,0.2570865321050533,0.2570865321050533,0.0
423,- SUPERVISOR DE EMPRESA,57,71,486537,866578,0.8028169014084507,0.5614462864277653,0.24137061498068546,0.24137061498068546,0.0
534,- MALE c 35-44 anos PR,94,118,486537,866578,0.7966101694915254,0.5614462864277653,0.23516388306376013,0.23516388306376013,0.0
534,- MALE c 35-44 anos PR SUL,94,118,486537,866578,0.7966101694915254,0.5614462864277653,0.23516388306376013,0.23516388306376013,0.0
549,- MALE c 35-44 anos SP SUDESTE,474,598,486537,866578,0.7926421404682275,0.5614462864277653,0.23119585404046217,0.23119585404046217,0.0
549,- MALE c 35-44 anos SP,474,598,486537,866578,0.7926421404682275,0.5614462864277653,0.23119585404046217,0.23119585404046217,0.0
550,- MALE c 35-44 anos SP SUDESTE,124,598,380041,866578,0.20735785953177258,0.4385537135722347,-0.23119585404046214,0.23119585404046214,1.0
550,- MALE c 35-44 anos SP,124,598,380041,866578,0.20735785953177258,0.4385537135722347,-0.23119585404046214,0.23119585404046214,1.0
481,- MALE b 25-34 anos PR SUL,127,161,486537,866578,0.7888198757763976,0.5614462864277653,0.22737358934863228,0.22737358934863228,0.0
481,- MALE b 25-34 anos PR,127,161,486537,866578,0.7888198757763976,0.5614462864277653,0.22737358934863228,0.22737358934863228,0.0
543,- MALE c 35-44 anos RS,56,71,486537,866578,0.7887323943661971,0.5614462864277653,0.22728610793843185,0.22728610793843185,0.0
543,- MALE c 35-44 anos RS SUL,56,71,486537,866578,0.7887323943661971,0.5614462864277653,0.22728610793843185,0.22728610793843185,0.0
245,- LAVRADOR,66,84,486537,866578,0.7857142857142857,0.5614462864277653,0.22426799928652041,0.22426799928652041,0.0
497,- MALE b 25-34 anos SP SUDESTE,215,991,380041,866578,0.21695257315842584,0.4385537135722347,-0.22160114041380888,0.22160114041380888,1.0
497,- MALE b 25-34 anos SP,215,991,380041,866578,0.21695257315842584,0.4385537135722347,-0.22160114041380888,0.22160114041380888,1.0
496,- MALE b 25-34 anos SP,776,991,486537,866578,0.7830474268415741,0.5614462864277653,0.22160114041380885,0.22160114041380885,0.0
496,- MALE b 25-34 anos SP SUDESTE,776,991,486537,866578,0.7830474268415741,0.5614462864277653,0.22160114041380885,0.22160114041380885,0.0
6,- d 3-4 anos de conta,1442,1842,486537,866578,0.7828447339847991,0.5614462864277653,0.22139844755703386,0.22139844755703386,0.0
7,- d 3-4 anos de conta,400,1842,380041,866578,0.21715526601520088,0.4385537135722347,-0.22139844755703383,0.22139844755703383,1.0
352,- PROFESSOR,218,280,486537,866578,0.7785714285714286,0.5614462864277653,0.2171251421436633,0.2171251421436633,0.0
353,- PROFESSOR,62,280,380041,866578,0.22142857142857142,0.4385537135722347,-0.2171251421436633,0.2171251421436633,1.0
16,- i Mestrado incompleto,62,80,486537,866578,0.775,0.5614462864277653,0.21355371357223474,0.21355371357223474,0.0
217,- GERENTE GERAL DE EMPRESA,93,120,486537,866578,0.775,0.5614462864277653,0.21355371357223474,0.21355371357223474,0.0
545,- MALE c 35-44 anos SC SUL,55,71,486537,866578,0.7746478873239436,0.5614462864277653,0.21320160089617834,0.21320160089617834,0.0
545,- MALE c 35-44 anos SC,55,71,486537,866578,0.7746478873239436,0.5614462864277653,0.21320160089617834,0.21320160089617834,0.0
134,- DESIGNER,212,274,486537,866578,0.7737226277372263,0.5614462864277653,0.21227634130946105,0.21227634130946105,0.0
135,- DESIGNER,62,274,380041,866578,0.22627737226277372,0.4385537135722347,-0.212276341309461,0.212276341309461,1.0
8,- e 4-5 anos de conta,471,609,486537,866578,0.7733990147783252,0.5614462864277653,0.2119527283505599,0.2119527283505599,0.0
9,- e 4-5 anos de conta,138,609,380041,866578,0.22660098522167488,0.4385537135722347,-0.21195272835055984,0.21195272835055984,1.0
492,- MALE b 25-34 anos SC SUL,95,123,486537,866578,0.7723577235772358,0.5614462864277653,0.21091143714947047,0.21091143714947047,0.0
492,- MALE b 25-34 anos SC,95,123,486537,866578,0.7723577235772358,0.5614462864277653,0.21091143714947047,0.21091143714947047,0.0
1317,- MALE b 25-34 anos SC SUL Solteiro,71,92,486537,866578,0.7717391304347826,0.5614462864277653,0.2102928440070173,0.2102928440070173,0.0
429,- TECNÓLOGO DE NÍVEL MÉDIO,54,70,486537,866578,0.7714285714285715,0.5614462864277653,0.20998228500080618,0.20998228500080618,0.0
1513,- MALE c 35-44 anos SP SUDESTE Solteiro,62,264,380041,866578,0.23484848484848486,0.4385537135722347,-0.20370522872374985,0.20370522872374985,1.0
1512,- MALE c 35-44 anos SP SUDESTE Solteiro,202,264,486537,866578,0.7651515151515151,0.5614462864277653,0.20370522872374985,0.20370522872374985,0.0
